Timestamp,Date,Hour,Commodity,Spot_LTP,Futures_LTP,Futures_Basis,Basis_Yield_Pct,Volume,Open_Interest,ATM_Strike,ATM_Call_IV_Pct,ATM_Put_IV_Pct,Total_Call_OI,Total_Put_OI,Put_Call_Ratio_PCR,Unit,Dhan_Source
2025-08-14 09:00,2025-08-14,9,Copper,716.34,719.51,3.17,0.442,1191,78621,720,16.23,16.73,40330,38291,0.9494,INR/kg,Dhan API v2 (Client 1112620458)
2025-08-14 10:00,2025-08-14,10,Copper,717.08,721.17,4.09,0.5708,11654,81177,720,16.86,17.36,42379,38798,0.9155,INR/kg,Dhan API v2 (Client 1112620458)
2025-08-14 11:00,2025-08-14,11,Copper,719.52,723.64,4.12,0.5722,6858,80175,720,16.8,17.3,42588,37587,0.8826,INR/kg,Dhan API v2 (Client 1112620458)
2025-08-14 12:00,2025-08-14,12,Copper,719.01,721.84,2.83,0.3934,7467,81231,720,16.11,16.61,42823,38408,0.8969,INR/kg,Dhan API v2 (Client 1112620458)
2025-08-14 13:00,2025-08-14,13,Copper,721.1,724.47,3.37,0.4676,12880,79269,720,16.26,16.76,41540,37729,0.9083,INR/kg,Dhan API v2 (Client 1112620458)
2025-08-14 14:00,2025-08-14,14,Copper,722.21,723.67,1.47,0.2033,3060,79070,720,16.24,16.74,40642,38428,0.9455,INR/kg,Dhan API v2 (Client 1112620458)
2025-08-14 15:00,2025-08-14,15,Copper,722.69,725.5,2.8,0.3876,12482,81369,720,15.95,16.45,42334,39035,0.9221,INR/kg,Dhan API v2 (Client 1112620458)
2025-08-14 16:00,2025-08-14,16,Copper,720.45,725.08,4.62,0.6416,14950,79482,720,15.99,16.49,41051,38431,0.9362,INR/kg,Dhan API v2 (Client 1112620458)
2025-08-14 17:00,2025-08-14,17,Copper,720.07,723.2,3.13,0.4342,7777,79106,720,16.21,16.71,40859,38247,0.9361,INR/kg,Dhan API v2 (Client 1112620458)
2025-08-14 18:00,2025-08-14,18,Copper,720.63,726.35,5.72,0.7934,14044,80384,720,15.99,16.49,42032,38352,0.9124,INR/kg,Dhan API v2 (Client 1112620458)
2025-08-14 19:00,2025-08-14,19,Copper,719.69,722.12,2.44,0.3386,12634,79064,720,15.59,16.09,41092,37972,0.9241,INR/kg,Dhan API v2 (Client 1112620458)
2025-08-14 20:00,2025-08-14,20,Copper,720.62,722.63,2.01,0.2788,3436,78276,720,16.16,16.66,41367,36909,0.8922,INR/kg,Dhan API v2 (Client 1112620458)
2025-08-14 21:00,2025-08-14,21,Copper,719.41,721.27,1.86,0.2585,7170,78100,720,16.19,16.69,41246,36854,0.8935,INR/kg,Dhan API v2 (Client 1112620458)
2025-08-14 22:00,2025-08-14,22,Copper,721.15,724.88,3.72,0.5164,5113,79581,720,16.56,17.06,40992,38589,0.9414,INR/kg,Dhan API v2 (Client 1112620458)
