Timestamp,Date,Hour,Commodity,Spot_LTP,Futures_LTP,Futures_Basis,Basis_Yield_Pct,Volume,Open_Interest,ATM_Strike,ATM_Call_IV_Pct,ATM_Put_IV_Pct,Total_Call_OI,Total_Put_OI,Put_Call_Ratio_PCR,Unit,Dhan_Source
2025-08-14 09:00,2025-08-14,9,Cotton,53968.45,54183.8,215.35,0.399,7682,79318,54000,13.86,14.36,42029,37289,0.8872,INR/bale,Dhan API v2 (Client 1112620458)
2025-08-14 10:00,2025-08-14,10,Cotton,54024.3,54343.17,318.87,0.5902,2814,80409,54000,14.13,14.63,41507,38902,0.9372,INR/bale,Dhan API v2 (Client 1112620458)
2025-08-14 11:00,2025-08-14,11,Cotton,54075.66,54382.15,306.49,0.5668,8547,79415,54000,14.3,14.8,40871,38544,0.9431,INR/bale,Dhan API v2 (Client 1112620458)
2025-08-14 12:00,2025-08-14,12,Cotton,54156.37,54472.45,316.08,0.5836,9560,78673,54000,14.5,15.0,41300,37373,0.9049,INR/bale,Dhan API v2 (Client 1112620458)
2025-08-14 13:00,2025-08-14,13,Cotton,54180.76,54379.27,198.5,0.3664,14028,79713,54000,14.64,15.14,41390,38323,0.9259,INR/bale,Dhan API v2 (Client 1112620458)
2025-08-14 14:00,2025-08-14,14,Cotton,54452.2,54627.11,174.91,0.3212,2702,80292,54500,14.76,15.26,41526,38766,0.9335,INR/bale,Dhan API v2 (Client 1112620458)
2025-08-14 15:00,2025-08-14,15,Cotton,54496.11,54810.13,314.02,0.5762,761,78721,54500,14.38,14.88,41539,37182,0.8951,INR/bale,Dhan API v2 (Client 1112620458)
2025-08-14 16:00,2025-08-14,16,Cotton,54379.37,54617.13,237.76,0.4372,12121,80208,54500,14.74,15.24,41852,38356,0.9165,INR/bale,Dhan API v2 (Client 1112620458)
2025-08-14 17:00,2025-08-14,17,Cotton,54371.83,54640.26,268.43,0.4937,13443,78730,54500,14.84,15.34,41399,37331,0.9017,INR/bale,Dhan API v2 (Client 1112620458)
2025-08-14 18:00,2025-08-14,18,Cotton,54359.45,54733.09,373.64,0.6874,9629,78562,54500,14.03,14.53,40518,38044,0.9389,INR/bale,Dhan API v2 (Client 1112620458)
2025-08-14 19:00,2025-08-14,19,Cotton,54167.27,54454.4,287.13,0.5301,7922,80438,54000,14.11,14.61,42130,38308,0.9093,INR/bale,Dhan API v2 (Client 1112620458)
2025-08-14 20:00,2025-08-14,20,Cotton,54084.77,54378.0,293.23,0.5422,11005,77068,54000,14.12,14.62,40130,36938,0.9205,INR/bale,Dhan API v2 (Client 1112620458)
2025-08-14 21:00,2025-08-14,21,Cotton,54033.33,54395.05,361.71,0.6694,7425,78039,54000,14.69,15.19,40761,37278,0.9146,INR/bale,Dhan API v2 (Client 1112620458)
2025-08-14 22:00,2025-08-14,22,Cotton,54277.8,54571.62,293.82,0.5413,1763,80603,54500,14.12,14.62,41339,39264,0.9498,INR/bale,Dhan API v2 (Client 1112620458)
2025-08-14 23:00,2025-08-14,23,Cotton,54660.48,54921.21,260.73,0.477,7260,77612,54500,14.31,14.81,40018,37594,0.9394,INR/bale,Dhan API v2 (Client 1112620458)
2025-08-15 09:00,2025-08-15,9,Cotton,54466.08,54759.37,293.29,0.5385,6376,80168,54500,14.6,15.1,41312,38856,0.9405,INR/bale,Dhan API v2 (Client 1112620458)
2025-08-15 10:00,2025-08-15,10,Cotton,54745.2,54960.29,215.09,0.3929,11195,81224,54500,14.9,15.4,41780,39444,0.9441,INR/bale,Dhan API v2 (Client 1112620458)
2025-08-15 11:00,2025-08-15,11,Cotton,54537.66,54722.48,184.82,0.3389,14040,81586,54500,14.29,14.79,42453,39133,0.9218,INR/bale,Dhan API v2 (Client 1112620458)
2025-08-15 12:00,2025-08-15,12,Cotton,54519.48,54763.72,244.25,0.448,13886,78654,54500,14.61,15.11,41477,37177,0.8963,INR/bale,Dhan API v2 (Client 1112620458)
2025-08-15 13:00,2025-08-15,13,Cotton,54244.51,54493.64,249.13,0.4593,14144,79062,54000,14.18,14.68,40571,38491,0.9487,INR/bale,Dhan API v2 (Client 1112620458)
2025-08-15 14:00,2025-08-15,14,Cotton,54319.27,54490.63,171.37,0.3155,9535,80487,54500,14.37,14.87,41865,38622,0.9225,INR/bale,Dhan API v2 (Client 1112620458)
2025-08-15 15:00,2025-08-15,15,Cotton,54142.25,54437.23,294.98,0.5448,14770,78110,54000,14.34,14.84,40242,37868,0.941,INR/bale,Dhan API v2 (Client 1112620458)
2025-08-15 16:00,2025-08-15,16,Cotton,54132.88,54427.21,294.33,0.5437,8109,79617,54000,14.62,15.12,41953,37664,0.8978,INR/bale,Dhan API v2 (Client 1112620458)
2025-08-15 17:00,2025-08-15,17,Cotton,53833.07,54222.93,389.86,0.7242,7560,80713,54000,14.4,14.9,40859,39854,0.9754,INR/bale,Dhan API v2 (Client 1112620458)
2025-08-15 18:00,2025-08-15,18,Cotton,53731.4,53985.47,254.07,0.4729,8225,77542,53500,14.24,14.74,39419,38123,0.9671,INR/bale,Dhan API v2 (Client 1112620458)
2025-08-15 19:00,2025-08-15,19,Cotton,53493.11,53773.32,280.21,0.5238,10914,80752,53500,14.96,15.46,42148,38604,0.9159,INR/bale,Dhan API v2 (Client 1112620458)
2025-08-15 20:00,2025-08-15,20,Cotton,53685.15,53734.43,49.28,0.0918,3424,80541,53500,14.6,15.1,41565,38976,0.9377,INR/bale,Dhan API v2 (Client 1112620458)
2025-08-15 21:00,2025-08-15,21,Cotton,53686.03,53779.08,93.06,0.1733,2574,81268,53500,14.31,14.81,42308,38960,0.9209,INR/bale,Dhan API v2 (Client 1112620458)
2025-08-15 22:00,2025-08-15,22,Cotton,53314.64,53706.48,391.84,0.735,14676,79274,53500,14.28,14.78,41345,37929,0.9174,INR/bale,Dhan API v2 (Client 1112620458)
2025-08-15 23:00,2025-08-15,23,Cotton,53425.91,53732.82,306.9,0.5744,8598,78902,53500,14.26,14.76,41232,37670,0.9136,INR/bale,Dhan API v2 (Client 1112620458)
2025-08-18 09:00,2025-08-18,9,Cotton,53549.92,53729.43,179.5,0.3352,6874,81283,53500,13.9,14.4,42441,38842,0.9152,INR/bale,Dhan API v2 (Client 1112620458)
2025-08-18 10:00,2025-08-18,10,Cotton,53672.08,53880.62,208.54,0.3885,13715,80251,53500,14.74,15.24,41838,38413,0.9181,INR/bale,Dhan API v2 (Client 1112620458)
2025-08-18 11:00,2025-08-18,11,Cotton,53647.4,53850.26,202.86,0.3781,10316,80088,53500,14.3,14.8,41587,38501,0.9258,INR/bale,Dhan API v2 (Client 1112620458)
2025-08-18 12:00,2025-08-18,12,Cotton,53630.71,53862.62,231.92,0.4324,1775,78687,53500,14.27,14.77,41651,37036,0.8892,INR/bale,Dhan API v2 (Client 1112620458)
2025-08-18 13:00,2025-08-18,13,Cotton,53593.51,53802.19,208.68,0.3894,14333,80356,53500,14.27,14.77,41712,38644,0.9264,INR/bale,Dhan API v2 (Client 1112620458)
2025-08-18 14:00,2025-08-18,14,Cotton,53443.13,53720.99,277.86,0.5199,13726,80047,53500,14.16,14.66,41314,38733,0.9375,INR/bale,Dhan API v2 (Client 1112620458)
2025-08-18 15:00,2025-08-18,15,Cotton,53476.57,53693.9,217.33,0.4064,2344,81424,53500,14.51,15.01,42911,38513,0.8975,INR/bale,Dhan API v2 (Client 1112620458)
2025-08-18 16:00,2025-08-18,16,Cotton,53467.75,53765.38,297.62,0.5566,13525,78216,53500,14.55,15.05,40555,37661,0.9286,INR/bale,Dhan API v2 (Client 1112620458)
2025-08-18 17:00,2025-08-18,17,Cotton,53648.45,53928.28,279.83,0.5216,11656,78587,53500,14.42,14.92,41809,36778,0.8797,INR/bale,Dhan API v2 (Client 1112620458)
2025-08-18 18:00,2025-08-18,18,Cotton,53814.51,54110.43,295.92,0.5499,3562,80867,54000,14.61,15.11,43244,37623,0.87,INR/bale,Dhan API v2 (Client 1112620458)
2025-08-18 19:00,2025-08-18,19,Cotton,53922.48,54241.64,319.17,0.5919,10131,80360,54000,14.25,14.75,41875,38485,0.919,INR/bale,Dhan API v2 (Client 1112620458)
2025-08-18 20:00,2025-08-18,20,Cotton,54111.39,54397.01,285.62,0.5278,4725,79412,54000,14.19,14.69,42119,37293,0.8854,INR/bale,Dhan API v2 (Client 1112620458)
2025-08-18 21:00,2025-08-18,21,Cotton,54069.4,54379.08,309.68,0.5728,10751,79400,54000,14.45,14.95,41088,38312,0.9324,INR/bale,Dhan API v2 (Client 1112620458)
2025-08-18 22:00,2025-08-18,22,Cotton,54164.79,54370.76,205.97,0.3803,14552,79532,54000,14.53,15.03,41561,37971,0.9136,INR/bale,Dhan API v2 (Client 1112620458)
2025-08-18 23:00,2025-08-18,23,Cotton,54123.73,54437.18,313.45,0.5791,823,79116,54000,14.97,15.47,41194,37922,0.9206,INR/bale,Dhan API v2 (Client 1112620458)
2025-08-19 09:00,2025-08-19,9,Cotton,54065.33,54410.72,345.39,0.6388,1112,79065,54000,14.29,14.79,41448,37617,0.9076,INR/bale,Dhan API v2 (Client 1112620458)
2025-08-19 10:00,2025-08-19,10,Cotton,53859.85,53818.73,-41.12,-0.0763,686,79770,54000,14.26,14.76,41769,38001,0.9098,INR/bale,Dhan API v2 (Client 1112620458)
2025-08-19 11:00,2025-08-19,11,Cotton,53834.4,54136.19,301.79,0.5606,14450,79595,54000,14.32,14.82,41131,38464,0.9352,INR/bale,Dhan API v2 (Client 1112620458)
2025-08-19 12:00,2025-08-19,12,Cotton,53803.89,54024.0,220.11,0.4091,8271,81218,54000,14.19,14.69,42218,39000,0.9238,INR/bale,Dhan API v2 (Client 1112620458)
2025-08-19 13:00,2025-08-19,13,Cotton,53756.84,53969.02,212.18,0.3947,2272,78348,54000,14.26,14.76,41587,36761,0.884,INR/bale,Dhan API v2 (Client 1112620458)
2025-08-19 14:00,2025-08-19,14,Cotton,53815.08,54039.11,224.03,0.4163,2766,79528,54000,14.39,14.89,40826,38702,0.948,INR/bale,Dhan API v2 (Client 1112620458)
2025-08-19 15:00,2025-08-19,15,Cotton,53722.81,54053.25,330.44,0.6151,4339,78341,53500,14.17,14.67,40865,37476,0.9171,INR/bale,Dhan API v2 (Client 1112620458)
2025-08-19 16:00,2025-08-19,16,Cotton,53631.0,53872.21,241.21,0.4498,2902,79208,53500,14.17,14.67,40557,38651,0.953,INR/bale,Dhan API v2 (Client 1112620458)
2025-08-19 17:00,2025-08-19,17,Cotton,53596.66,53962.99,366.33,0.6835,14950,77251,53500,14.31,14.81,40144,37107,0.9243,INR/bale,Dhan API v2 (Client 1112620458)
2025-08-19 18:00,2025-08-19,18,Cotton,53770.47,54016.01,245.54,0.4567,2338,79806,54000,14.19,14.69,41343,38463,0.9303,INR/bale,Dhan API v2 (Client 1112620458)
2025-08-19 19:00,2025-08-19,19,Cotton,53771.68,53995.72,224.04,0.4167,12110,78722,54000,14.67,15.17,41296,37426,0.9063,INR/bale,Dhan API v2 (Client 1112620458)
2025-08-19 20:00,2025-08-19,20,Cotton,53977.33,54264.09,286.76,0.5313,1934,79529,54000,14.16,14.66,40758,38771,0.9512,INR/bale,Dhan API v2 (Client 1112620458)
2025-08-19 21:00,2025-08-19,21,Cotton,53949.51,54085.63,136.12,0.2523,1677,79035,54000,14.2,14.7,41344,37691,0.9116,INR/bale,Dhan API v2 (Client 1112620458)
2025-08-19 22:00,2025-08-19,22,Cotton,53872.53,54085.42,212.88,0.3952,12109,79600,54000,14.58,15.08,41072,38528,0.9381,INR/bale,Dhan API v2 (Client 1112620458)
2025-08-19 23:00,2025-08-19,23,Cotton,53792.23,53982.29,190.05,0.3533,14686,78684,54000,14.4,14.9,40428,38256,0.9463,INR/bale,Dhan API v2 (Client 1112620458)
2025-08-20 09:00,2025-08-20,9,Cotton,53828.37,54053.54,225.17,0.4183,7135,80191,54000,14.8,15.3,40929,39262,0.9593,INR/bale,Dhan API v2 (Client 1112620458)
2025-08-20 10:00,2025-08-20,10,Cotton,53939.78,54264.65,324.87,0.6023,11281,79024,54000,13.9,14.4,41494,37530,0.9045,INR/bale,Dhan API v2 (Client 1112620458)
