Date,Open,High,Low,Close_Futures_LTP,Volume,Dhan_Source,Commodity,Security_ID,Unit,Basis_Proxy,Basis_Diff_d1
2025-08-14,889.0,889.7,884.45,887.4,3223.0,Dhan HQ Paid API v2 (1-Year Daily),COPPER,568831,INR/kg,-1.6,0.0
2025-08-18,886.45,887.5,881.05,882.3,3974.0,Dhan HQ Paid API v2 (1-Year Daily),COPPER,568831,INR/kg,-4.15,-2.55
2025-08-19,882.3,882.6,872.9,873.9,4760.0,Dhan HQ Paid API v2 (1-Year Daily),COPPER,568831,INR/kg,-8.4,-4.25
2025-08-20,873.9,875.0,868.55,873.4,4906.0,Dhan HQ Paid API v2 (1-Year Daily),COPPER,568831,INR/kg,-0.5,7.9
2025-08-21,874.7,878.0,869.55,877.3,4245.0,Dhan HQ Paid API v2 (1-Year Daily),COPPER,568831,INR/kg,2.6,3.1
2025-08-22,877.45,881.1,875.65,880.55,3100.0,Dhan HQ Paid API v2 (1-Year Daily),COPPER,568831,INR/kg,3.1,0.5
2025-08-25,880.65,885.4,880.3,882.7,1530.0,Dhan HQ Paid API v2 (1-Year Daily),COPPER,568831,INR/kg,2.05,-1.05
2025-08-26,882.45,886.0,879.1,882.0,1606.0,Dhan HQ Paid API v2 (1-Year Daily),COPPER,568831,INR/kg,-0.45,-2.5
2025-08-27,877.7,898.7,875.2,884.85,721.0,Dhan HQ Paid API v2 (1-Year Daily),COPPER,568831,INR/kg,7.15,7.6
2025-08-28,891.4,913.1,879.4,907.45,358.0,Dhan HQ Paid API v2 (1-Year Daily),COPPER,568831,INR/kg,16.05,8.9
2025-09-01,900.85,905.65,897.2,897.9,3612.0,Dhan HQ Paid API v2 (1-Year Daily),COPPER,568831,INR/kg,-2.95,-19.0
2025-09-02,898.05,907.9,895.3,907.2,5627.0,Dhan HQ Paid API v2 (1-Year Daily),COPPER,568831,INR/kg,9.15,12.1
2025-09-03,905.0,909.55,901.0,906.2,5157.0,Dhan HQ Paid API v2 (1-Year Daily),COPPER,568831,INR/kg,1.2,-7.95
2025-09-05,901.95,907.75,896.4,897.05,5587.0,Dhan HQ Paid API v2 (1-Year Daily),COPPER,568831,INR/kg,-4.9,-6.1
2025-09-08,898.55,901.55,897.7,899.6,3317.0,Dhan HQ Paid API v2 (1-Year Daily),COPPER,568831,INR/kg,1.05,5.95
2025-09-09,899.8,903.8,899.8,902.35,4396.0,Dhan HQ Paid API v2 (1-Year Daily),COPPER,568831,INR/kg,2.55,1.5
2025-09-10,903.75,907.95,901.35,907.3,5021.0,Dhan HQ Paid API v2 (1-Year Daily),COPPER,568831,INR/kg,3.55,1.0
2025-09-11,906.85,913.65,906.4,913.0,3874.0,Dhan HQ Paid API v2 (1-Year Daily),COPPER,568831,INR/kg,6.15,2.6
2025-09-12,914.85,919.8,913.0,913.85,5120.0,Dhan HQ Paid API v2 (1-Year Daily),COPPER,568831,INR/kg,-1.0,-7.15
2025-09-15,915.95,921.5,911.8,920.95,5901.0,Dhan HQ Paid API v2 (1-Year Daily),COPPER,568831,INR/kg,5.0,6.0
2025-09-16,917.9,919.8,913.85,915.8,4850.0,Dhan HQ Paid API v2 (1-Year Daily),COPPER,568831,INR/kg,-2.1,-7.1
2025-09-17,914.0,914.0,899.6,903.75,8020.0,Dhan HQ Paid API v2 (1-Year Daily),COPPER,568831,INR/kg,-10.25,-8.15
2025-09-18,903.05,908.3,900.55,903.05,4438.0,Dhan HQ Paid API v2 (1-Year Daily),COPPER,568831,INR/kg,0.0,10.25
2025-09-19,904.7,907.8,902.55,906.65,3840.0,Dhan HQ Paid API v2 (1-Year Daily),COPPER,568831,INR/kg,1.95,1.95
2025-09-22,907.75,911.4,904.85,910.25,1621.6,Dhan HQ Paid API v2 (1-Year Daily),COPPER,568831,INR/kg,2.5,0.55
2025-09-23,908.5,912.6,908.4,911.45,3008.0,Dhan HQ Paid API v2 (1-Year Daily),COPPER,568831,INR/kg,2.95,0.45
2025-09-24,910.7,942.55,906.05,937.6,5329.0,Dhan HQ Paid API v2 (1-Year Daily),COPPER,568831,INR/kg,26.9,23.95
2025-09-25,940.8,955.7,935.0,937.5,2551.0,Dhan HQ Paid API v2 (1-Year Daily),COPPER,568831,INR/kg,-3.3,-30.2
2025-09-26,938.9,941.0,928.2,936.7,423.0,Dhan HQ Paid API v2 (1-Year Daily),COPPER,568831,INR/kg,-2.2,1.1
2025-09-29,944.95,955.9,942.3,954.1,116.0,Dhan HQ Paid API v2 (1-Year Daily),COPPER,568831,INR/kg,9.15,11.35
2025-09-30,957.8,958.6,948.5,949.6,10.0,Dhan HQ Paid API v2 (1-Year Daily),COPPER,568831,INR/kg,-8.2,-17.35
2025-10-01,951.25,959.25,948.3,957.65,7777.0,Dhan HQ Paid API v2 (1-Year Daily),COPPER,568831,INR/kg,6.4,14.6
2025-10-03,969.0,993.65,965.4,990.05,12587.0,Dhan HQ Paid API v2 (1-Year Daily),COPPER,568831,INR/kg,21.05,14.65
2025-10-06,989.95,1001.15,985.0,989.15,10734.0,Dhan HQ Paid API v2 (1-Year Daily),COPPER,568831,INR/kg,-0.8,-21.85
2025-10-07,992.45,999.95,988.65,996.25,8877.0,Dhan HQ Paid API v2 (1-Year Daily),COPPER,568831,INR/kg,3.8,4.6
2025-10-08,995.9,1005.95,994.25,999.35,9090.0,Dhan HQ Paid API v2 (1-Year Daily),COPPER,568831,INR/kg,3.45,-0.35
2025-10-09,1004.0,1026.45,1001.0,1003.25,16867.0,Dhan HQ Paid API v2 (1-Year Daily),COPPER,568831,INR/kg,-0.75,-4.2
2025-10-10,999.4,1012.95,963.15,969.0,25721.0,Dhan HQ Paid API v2 (1-Year Daily),COPPER,568831,INR/kg,-30.4,-29.65
2025-10-13,945.95,1008.9,945.95,1003.5,16623.0,Dhan HQ Paid API v2 (1-Year Daily),COPPER,568831,INR/kg,57.55,87.95
2025-10-14,1001.75,1012.1,979.0,994.0,16928.0,Dhan HQ Paid API v2 (1-Year Daily),COPPER,568831,INR/kg,-7.75,-65.3
2025-10-15,991.3,1000.6,987.15,991.7,9082.0,Dhan HQ Paid API v2 (1-Year Daily),COPPER,568831,INR/kg,0.4,8.15
2025-10-16,993.55,996.65,990.55,993.85,7383.0,Dhan HQ Paid API v2 (1-Year Daily),COPPER,568831,INR/kg,0.3,-0.1
2025-10-17,993.85,994.5,977.9,983.1,10056.0,Dhan HQ Paid API v2 (1-Year Daily),COPPER,568831,INR/kg,-10.75,-11.05
2025-10-20,985.35,993.25,982.25,988.5,5253.0,Dhan HQ Paid API v2 (1-Year Daily),COPPER,568831,INR/kg,3.15,13.9
2025-10-21,984.3,984.3,981.2,983.2,838.0,Dhan HQ Paid API v2 (1-Year Daily),COPPER,568831,INR/kg,-1.1,-4.25
2025-10-22,982.95,983.2,976.0,980.9,2374.0,Dhan HQ Paid API v2 (1-Year Daily),COPPER,568831,INR/kg,-2.05,-0.95
2025-10-23,989.25,992.75,982.2,990.0,5979.0,Dhan HQ Paid API v2 (1-Year Daily),COPPER,568831,INR/kg,0.75,2.8
2025-10-24,994.25,998.75,988.0,994.6,6415.0,Dhan HQ Paid API v2 (1-Year Daily),COPPER,568831,INR/kg,0.35,-0.4
2025-10-27,1001.95,1005.95,995.35,1002.45,3854.0,Dhan HQ Paid API v2 (1-Year Daily),COPPER,568831,INR/kg,0.5,0.15
2025-10-28,996.55,1005.0,990.0,1001.45,2321.0,Dhan HQ Paid API v2 (1-Year Daily),COPPER,568831,INR/kg,4.9,4.4
2025-10-29,1002.75,1020.1,998.0,1012.85,725.0,Dhan HQ Paid API v2 (1-Year Daily),COPPER,568831,INR/kg,10.1,5.2
2025-10-30,1010.0,1013.1,1000.1,1003.15,122.0,Dhan HQ Paid API v2 (1-Year Daily),COPPER,568831,INR/kg,-6.85,-16.95
2025-10-31,1001.5,1007.0,1001.5,1004.6,10.0,Dhan HQ Paid API v2 (1-Year Daily),COPPER,568831,INR/kg,3.1,9.95
2025-11-03,1008.3,1013.5,1007.75,1009.2,5203.0,Dhan HQ Paid API v2 (1-Year Daily),COPPER,568831,INR/kg,0.9,-2.2
2025-11-04,1005.65,1005.65,994.4,996.85,9544.0,Dhan HQ Paid API v2 (1-Year Daily),COPPER,568831,INR/kg,-8.8,-9.7
2025-11-05,996.9,1002.6,993.1,1001.75,4100.0,Dhan HQ Paid API v2 (1-Year Daily),COPPER,568831,INR/kg,4.85,13.65
2025-11-06,1002.75,1007.0,998.85,1000.05,5832.0,Dhan HQ Paid API v2 (1-Year Daily),COPPER,568831,INR/kg,-2.7,-7.55
2025-11-10,1005.55,1013.4,1005.0,1012.75,7393.0,Dhan HQ Paid API v2 (1-Year Daily),COPPER,568831,INR/kg,7.2,9.9
2025-11-11,1009.05,1013.85,1006.6,1008.3,5719.0,Dhan HQ Paid API v2 (1-Year Daily),COPPER,568831,INR/kg,-0.75,-7.95
2025-11-12,1008.35,1017.0,1007.25,1013.4,7644.0,Dhan HQ Paid API v2 (1-Year Daily),COPPER,568831,INR/kg,5.05,5.8
2025-11-13,1014.0,1020.7,1012.9,1014.05,7259.0,Dhan HQ Paid API v2 (1-Year Daily),COPPER,568831,INR/kg,0.05,-5.0
2025-11-14,1012.05,1016.0,1000.5,1008.5,8785.0,Dhan HQ Paid API v2 (1-Year Daily),COPPER,568831,INR/kg,-3.55,-3.6
2025-11-17,1006.45,1007.1,1001.2,1002.7,4491.0,Dhan HQ Paid API v2 (1-Year Daily),COPPER,568831,INR/kg,-3.75,-0.2
2025-11-18,1000.25,1001.2,990.1,995.45,6481.0,Dhan HQ Paid API v2 (1-Year Daily),COPPER,568831,INR/kg,-4.8,-1.05
2025-11-19,996.8,1004.4,995.25,1002.1,5220.0,Dhan HQ Paid API v2 (1-Year Daily),COPPER,568831,INR/kg,5.3,10.1
2025-11-20,1003.9,1005.05,996.25,996.8,5939.0,Dhan HQ Paid API v2 (1-Year Daily),COPPER,568831,INR/kg,-7.1,-12.4
2025-11-21,995.95,1003.6,992.3,1003.05,7277.0,Dhan HQ Paid API v2 (1-Year Daily),COPPER,568831,INR/kg,7.1,14.2
2025-11-24,1002.9,1002.95,998.5,999.15,2076.0,Dhan HQ Paid API v2 (1-Year Daily),COPPER,568831,INR/kg,-3.75,-10.85
2025-11-25,1003.4,1010.4,999.7,1001.75,3787.0,Dhan HQ Paid API v2 (1-Year Daily),COPPER,568831,INR/kg,-1.65,2.1
2025-11-26,1005.0,1011.95,999.5,1008.6,1379.0,Dhan HQ Paid API v2 (1-Year Daily),COPPER,568831,INR/kg,3.6,5.25
2025-11-27,1008.75,1011.9,1007.2,1009.8,104.0,Dhan HQ Paid API v2 (1-Year Daily),COPPER,568831,INR/kg,1.05,-2.55
2025-11-28,1012.25,1014.0,1012.05,1012.3,18.0,Dhan HQ Paid API v2 (1-Year Daily),COPPER,568831,INR/kg,0.05,-1.0
2025-12-01,1038.0,1055.25,1038.0,1050.25,10393.0,Dhan HQ Paid API v2 (1-Year Daily),COPPER,568831,INR/kg,12.25,12.2
2025-12-02,1042.45,1054.25,1041.25,1047.05,10412.0,Dhan HQ Paid API v2 (1-Year Daily),COPPER,568831,INR/kg,4.6,-7.65
2025-12-03,1051.0,1084.7,1049.95,1076.55,18481.0,Dhan HQ Paid API v2 (1-Year Daily),COPPER,568831,INR/kg,25.55,20.95
2025-12-04,1081.05,1087.2,1065.35,1073.6,13060.0,Dhan HQ Paid API v2 (1-Year Daily),COPPER,568831,INR/kg,-7.45,-33.0
2025-12-05,1076.95,1096.7,1076.95,1093.35,15544.0,Dhan HQ Paid API v2 (1-Year Daily),COPPER,568831,INR/kg,16.4,23.85
2025-12-08,1089.15,1103.95,1088.1,1097.05,11085.0,Dhan HQ Paid API v2 (1-Year Daily),COPPER,568831,INR/kg,7.9,-8.5
2025-12-09,1093.85,1093.85,1075.35,1079.2,12578.0,Dhan HQ Paid API v2 (1-Year Daily),COPPER,568831,INR/kg,-14.65,-22.55
2025-12-10,1088.95,1094.75,1081.65,1085.6,9500.0,Dhan HQ Paid API v2 (1-Year Daily),COPPER,568831,INR/kg,-3.35,11.3
2025-12-11,1084.5,1114.0,1084.5,1111.85,16076.0,Dhan HQ Paid API v2 (1-Year Daily),COPPER,568831,INR/kg,27.35,30.7
2025-12-12,1110.95,1124.9,1082.2,1096.8,25528.0,Dhan HQ Paid API v2 (1-Year Daily),COPPER,568831,INR/kg,-14.15,-41.5
2025-12-15,1104.25,1124.5,1100.5,1109.7,15303.0,Dhan HQ Paid API v2 (1-Year Daily),COPPER,568831,INR/kg,5.45,19.6
2025-12-16,1104.05,1113.0,1095.9,1105.9,9920.0,Dhan HQ Paid API v2 (1-Year Daily),COPPER,568831,INR/kg,1.85,-3.6
2025-12-17,1111.0,1119.0,1107.6,1113.35,12556.0,Dhan HQ Paid API v2 (1-Year Daily),COPPER,568831,INR/kg,2.35,0.5
2025-12-18,1108.25,1115.8,1107.35,1111.7,8969.0,Dhan HQ Paid API v2 (1-Year Daily),COPPER,568831,INR/kg,3.45,1.1
2025-12-19,1110.05,1119.55,1110.05,1114.85,8710.0,Dhan HQ Paid API v2 (1-Year Daily),COPPER,568831,INR/kg,4.8,1.35
2025-12-22,1118.4,1123.8,1117.45,1121.65,8250.0,Dhan HQ Paid API v2 (1-Year Daily),COPPER,568831,INR/kg,3.25,-1.55
2025-12-23,1122.45,1146.7,1121.05,1139.85,14292.0,Dhan HQ Paid API v2 (1-Year Daily),COPPER,568831,INR/kg,17.4,14.15
2025-12-24,1144.15,1168.0,1143.85,1156.6,11065.0,Dhan HQ Paid API v2 (1-Year Daily),COPPER,568831,INR/kg,12.45,-4.95
2025-12-26,1174.55,1260.65,1174.55,1259.3,8503.0,Dhan HQ Paid API v2 (1-Year Daily),COPPER,568831,INR/kg,84.75,72.3
2025-12-29,1295.85,1372.6,1177.9,1201.7,1131.0,Dhan HQ Paid API v2 (1-Year Daily),COPPER,568831,INR/kg,-94.15,-178.9
2025-12-30,1236.85,1309.85,1236.05,1281.95,164.0,Dhan HQ Paid API v2 (1-Year Daily),COPPER,568831,INR/kg,45.1,139.25
