Date,Open,High,Low,Close_Futures_LTP,Volume,Dhan_Source,Commodity,Security_ID,Unit,Basis_Proxy,Basis_Diff_d1
2025-08-14,27000.0,27000.0,27000.0,27000.0,0.0,Dhan HQ Paid API v2 (1-Year Daily),COTTON,568842,INR/bale,0.0,0.0
2025-08-18,27000.0,27000.0,27000.0,27000.0,0.0,Dhan HQ Paid API v2 (1-Year Daily),COTTON,568842,INR/bale,0.0,0.0
2025-08-19,27000.0,27000.0,27000.0,27000.0,0.0,Dhan HQ Paid API v2 (1-Year Daily),COTTON,568842,INR/bale,0.0,0.0
2025-08-20,27000.0,27000.0,27000.0,27000.0,0.0,Dhan HQ Paid API v2 (1-Year Daily),COTTON,568842,INR/bale,0.0,0.0
2025-08-21,27000.0,27000.0,27000.0,27000.0,0.0,Dhan HQ Paid API v2 (1-Year Daily),COTTON,568842,INR/bale,0.0,0.0
2025-08-22,27000.0,27000.0,27000.0,27000.0,0.0,Dhan HQ Paid API v2 (1-Year Daily),COTTON,568842,INR/bale,0.0,0.0
2025-08-25,27000.0,27000.0,27000.0,27000.0,0.0,Dhan HQ Paid API v2 (1-Year Daily),COTTON,568842,INR/bale,0.0,0.0
2025-08-26,27000.0,27000.0,27000.0,27000.0,0.0,Dhan HQ Paid API v2 (1-Year Daily),COTTON,568842,INR/bale,0.0,0.0
2025-08-27,27000.0,27000.0,27000.0,27000.0,0.0,Dhan HQ Paid API v2 (1-Year Daily),COTTON,568842,INR/bale,0.0,0.0
2025-08-28,27000.0,27000.0,27000.0,27000.0,0.0,Dhan HQ Paid API v2 (1-Year Daily),COTTON,568842,INR/bale,0.0,0.0
2025-09-01,27000.0,27000.0,27000.0,27000.0,0.0,Dhan HQ Paid API v2 (1-Year Daily),COTTON,568842,INR/bale,0.0,0.0
2025-09-02,27000.0,27000.0,27000.0,27000.0,0.0,Dhan HQ Paid API v2 (1-Year Daily),COTTON,568842,INR/bale,0.0,0.0
2025-09-03,27000.0,27000.0,27000.0,27000.0,0.0,Dhan HQ Paid API v2 (1-Year Daily),COTTON,568842,INR/bale,0.0,0.0
2025-09-05,27000.0,27000.0,27000.0,27000.0,0.0,Dhan HQ Paid API v2 (1-Year Daily),COTTON,568842,INR/bale,0.0,0.0
2025-09-08,27000.0,27000.0,27000.0,27000.0,0.0,Dhan HQ Paid API v2 (1-Year Daily),COTTON,568842,INR/bale,0.0,0.0
2025-09-09,27000.0,27000.0,27000.0,27000.0,0.0,Dhan HQ Paid API v2 (1-Year Daily),COTTON,568842,INR/bale,0.0,0.0
2025-09-10,27000.0,27000.0,27000.0,27000.0,0.0,Dhan HQ Paid API v2 (1-Year Daily),COTTON,568842,INR/bale,0.0,0.0
2025-09-11,27000.0,27000.0,27000.0,27000.0,0.0,Dhan HQ Paid API v2 (1-Year Daily),COTTON,568842,INR/bale,0.0,0.0
2025-09-12,27000.0,27000.0,27000.0,27000.0,0.0,Dhan HQ Paid API v2 (1-Year Daily),COTTON,568842,INR/bale,0.0,0.0
2025-09-15,27000.0,27000.0,27000.0,27000.0,0.0,Dhan HQ Paid API v2 (1-Year Daily),COTTON,568842,INR/bale,0.0,0.0
2025-09-16,27000.0,27000.0,27000.0,27000.0,0.0,Dhan HQ Paid API v2 (1-Year Daily),COTTON,568842,INR/bale,0.0,0.0
2025-09-17,27000.0,27000.0,27000.0,27000.0,0.0,Dhan HQ Paid API v2 (1-Year Daily),COTTON,568842,INR/bale,0.0,0.0
2025-09-18,27000.0,27000.0,27000.0,27000.0,0.0,Dhan HQ Paid API v2 (1-Year Daily),COTTON,568842,INR/bale,0.0,0.0
2025-09-19,27000.0,27000.0,27000.0,27000.0,0.0,Dhan HQ Paid API v2 (1-Year Daily),COTTON,568842,INR/bale,0.0,0.0
2025-09-22,26500.0,26500.0,26500.0,26500.0,0.0,Dhan HQ Paid API v2 (1-Year Daily),COTTON,568842,INR/bale,0.0,0.0
2025-09-23,26500.0,26500.0,26500.0,26500.0,0.0,Dhan HQ Paid API v2 (1-Year Daily),COTTON,568842,INR/bale,0.0,0.0
2025-09-24,26500.0,26500.0,26500.0,26500.0,0.0,Dhan HQ Paid API v2 (1-Year Daily),COTTON,568842,INR/bale,0.0,0.0
2025-09-25,26500.0,26500.0,26500.0,26500.0,0.0,Dhan HQ Paid API v2 (1-Year Daily),COTTON,568842,INR/bale,0.0,0.0
2025-09-26,26500.0,26500.0,26500.0,26500.0,0.0,Dhan HQ Paid API v2 (1-Year Daily),COTTON,568842,INR/bale,0.0,0.0
2025-09-29,26500.0,26500.0,26500.0,26500.0,0.0,Dhan HQ Paid API v2 (1-Year Daily),COTTON,568842,INR/bale,0.0,0.0
2025-09-30,26500.0,26500.0,26500.0,26500.0,0.0,Dhan HQ Paid API v2 (1-Year Daily),COTTON,568842,INR/bale,0.0,0.0
2025-10-01,26500.0,26500.0,26500.0,26500.0,0.0,Dhan HQ Paid API v2 (1-Year Daily),COTTON,568842,INR/bale,0.0,0.0
2025-10-03,26500.0,26500.0,26500.0,26500.0,0.0,Dhan HQ Paid API v2 (1-Year Daily),COTTON,568842,INR/bale,0.0,0.0
2025-10-06,25800.0,25810.0,25720.0,25770.0,10.0,Dhan HQ Paid API v2 (1-Year Daily),COTTON,568842,INR/bale,-30.0,-30.0
2025-10-07,26200.0,26200.0,25810.0,25940.0,16.0,Dhan HQ Paid API v2 (1-Year Daily),COTTON,568842,INR/bale,-260.0,-230.0
2025-10-08,25850.0,26000.0,25820.0,25950.0,18.0,Dhan HQ Paid API v2 (1-Year Daily),COTTON,568842,INR/bale,100.0,360.0
2025-10-09,25850.0,25990.0,25850.0,25920.0,16.0,Dhan HQ Paid API v2 (1-Year Daily),COTTON,568842,INR/bale,70.0,-30.0
