Date,Open,High,Low,Close_Futures_LTP,Volume,Dhan_Source,Commodity,Security_ID,Unit,Basis_Proxy,Basis_Diff_d1
2025-08-14,100297.0,100438.0,99663.0,99838.0,8915.0,Dhan HQ Paid API v2 (1-Year Daily),GOLD,483079,INR/10g,-459.0,0.0
2025-08-18,99960.0,100086.0,99313.0,99401.0,5752.0,Dhan HQ Paid API v2 (1-Year Daily),GOLD,483079,INR/10g,-559.0,-100.0
2025-08-19,99466.0,99517.0,98607.0,98696.0,6921.0,Dhan HQ Paid API v2 (1-Year Daily),GOLD,483079,INR/10g,-770.0,-211.0
2025-08-20,98742.0,99410.0,98516.0,99304.0,6785.0,Dhan HQ Paid API v2 (1-Year Daily),GOLD,483079,INR/10g,562.0,1332.0
2025-08-21,99159.0,99595.0,98915.0,99435.0,6540.0,Dhan HQ Paid API v2 (1-Year Daily),GOLD,483079,INR/10g,276.0,-286.0
2025-08-22,99301.0,100449.0,99168.0,100384.0,10014.0,Dhan HQ Paid API v2 (1-Year Daily),GOLD,483079,INR/10g,1083.0,807.0
2025-08-25,100195.0,100720.0,100195.0,100624.0,5066.0,Dhan HQ Paid API v2 (1-Year Daily),GOLD,483079,INR/10g,429.0,-654.0
2025-08-26,100812.0,101206.0,100700.0,101089.0,7039.0,Dhan HQ Paid API v2 (1-Year Daily),GOLD,483079,INR/10g,277.0,-152.0
2025-08-27,100858.0,101612.0,100858.0,101542.0,4316.0,Dhan HQ Paid API v2 (1-Year Daily),GOLD,483079,INR/10g,684.0,407.0
2025-08-28,101450.0,102125.0,101334.0,102100.0,9341.0,Dhan HQ Paid API v2 (1-Year Daily),GOLD,483079,INR/10g,650.0,-34.0
2025-09-01,104044.0,105937.0,104044.0,104785.0,8909.0,Dhan HQ Paid API v2 (1-Year Daily),GOLD,483079,INR/10g,741.0,91.0
2025-09-02,104850.0,105915.0,104558.0,105792.0,14752.0,Dhan HQ Paid API v2 (1-Year Daily),GOLD,483079,INR/10g,942.0,201.0
2025-09-03,106199.0,107226.0,105852.0,107195.0,11432.0,Dhan HQ Paid API v2 (1-Year Daily),GOLD,483079,INR/10g,996.0,54.0
2025-09-05,106676.0,107807.0,106600.0,107728.0,11160.0,Dhan HQ Paid API v2 (1-Year Daily),GOLD,483079,INR/10g,1052.0,56.0
2025-09-08,107456.0,108732.0,107101.0,108518.0,11541.0,Dhan HQ Paid API v2 (1-Year Daily),GOLD,483079,INR/10g,1062.0,10.0
2025-09-09,108947.0,109840.0,108600.0,109033.0,14266.0,Dhan HQ Paid API v2 (1-Year Daily),GOLD,483079,INR/10g,86.0,-976.0
2025-09-10,108744.0,109356.0,108668.0,108986.0,8966.0,Dhan HQ Paid API v2 (1-Year Daily),GOLD,483079,INR/10g,242.0,156.0
2025-09-11,108705.0,109186.0,108563.0,108981.0,11606.0,Dhan HQ Paid API v2 (1-Year Daily),GOLD,483079,INR/10g,276.0,34.0
2025-09-12,109352.0,109656.0,109122.0,109370.0,7077.0,Dhan HQ Paid API v2 (1-Year Daily),GOLD,483079,INR/10g,18.0,-258.0
2025-09-15,109255.0,110330.0,108900.0,110179.0,9649.0,Dhan HQ Paid API v2 (1-Year Daily),GOLD,483079,INR/10g,924.0,906.0
2025-09-16,110277.0,110666.0,110000.0,110156.0,9357.0,Dhan HQ Paid API v2 (1-Year Daily),GOLD,483079,INR/10g,-121.0,-1045.0
2025-09-17,109956.0,109956.0,109180.0,109822.0,8892.0,Dhan HQ Paid API v2 (1-Year Daily),GOLD,483079,INR/10g,-134.0,-13.0
2025-09-18,109180.0,109802.0,108690.0,109052.0,12496.0,Dhan HQ Paid API v2 (1-Year Daily),GOLD,483079,INR/10g,-128.0,6.0
2025-09-19,109254.0,109910.0,109066.0,109847.0,7902.0,Dhan HQ Paid API v2 (1-Year Daily),GOLD,483079,INR/10g,593.0,721.0
2025-09-22,110402.0,112295.0,110202.0,112230.0,12617.0,Dhan HQ Paid API v2 (1-Year Daily),GOLD,483079,INR/10g,1828.0,1235.0
2025-09-23,112200.0,114179.0,112174.0,113836.0,16731.0,Dhan HQ Paid API v2 (1-Year Daily),GOLD,483079,INR/10g,1636.0,-192.0
2025-09-24,113500.0,113838.0,112504.0,112555.0,9066.0,Dhan HQ Paid API v2 (1-Year Daily),GOLD,483079,INR/10g,-945.0,-2581.0
2025-09-25,112469.0,113250.0,112182.0,112629.0,10538.0,Dhan HQ Paid API v2 (1-Year Daily),GOLD,483079,INR/10g,160.0,1105.0
2025-09-26,112625.0,113940.0,112511.0,113788.0,3473.0,Dhan HQ Paid API v2 (1-Year Daily),GOLD,483079,INR/10g,1163.0,1003.0
2025-09-29,114300.0,115595.0,114300.0,115448.0,506.0,Dhan HQ Paid API v2 (1-Year Daily),GOLD,483079,INR/10g,1148.0,-15.0
2025-09-30,116517.0,116900.0,114780.0,115866.0,198.0,Dhan HQ Paid API v2 (1-Year Daily),GOLD,483079,INR/10g,-651.0,-1799.0
2025-10-01,116890.0,116994.0,116434.0,116782.0,25.0,Dhan HQ Paid API v2 (1-Year Daily),GOLD,483079,INR/10g,-108.0,543.0
2025-10-03,116437.0,117520.0,115869.0,116044.0,49.0,Dhan HQ Paid API v2 (1-Year Daily),GOLD,483079,INR/10g,-393.0,-285.0
2025-10-06,118900.0,120600.0,118900.0,120249.0,16933.0,Dhan HQ Paid API v2 (1-Year Daily),GOLD,483079,INR/10g,1349.0,1742.0
2025-10-07,120350.0,121250.0,119877.0,121111.0,18951.0,Dhan HQ Paid API v2 (1-Year Daily),GOLD,483079,INR/10g,761.0,-588.0
2025-10-08,121945.0,123450.0,121878.0,123209.0,16893.0,Dhan HQ Paid API v2 (1-Year Daily),GOLD,483079,INR/10g,1264.0,503.0
2025-10-09,122111.0,123677.0,120218.0,120493.0,25611.0,Dhan HQ Paid API v2 (1-Year Daily),GOLD,483079,INR/10g,-1618.0,-2882.0
