Timestamp,Date,Hour,Commodity,Ticker,Open,High,Low,Close_Futures_LTP,Volume,Hourly_Return_Pct,Futures_Basis_Proxy,Basis_Diff_d1,Unit,Source,Futures_Basis
2025-08-14 04:00,2025-08-14,4,Cotton,CT=F,66.25,66.25,66.24,66.25,2,0.0,0.0,0.0,USD/lb,Authentic Futures Market Feed (1-Year 60m Candles),0.0
2025-08-14 12:00,2025-08-14,12,Cotton,CT=F,66.46,66.46,66.19,66.19,0,-0.09,-0.27,-0.27,USD/lb,Authentic Futures Market Feed (1-Year 60m Candles),-0.27
2025-08-14 13:00,2025-08-14,13,Cotton,CT=F,66.28,66.28,66.28,66.28,23,0.1399999999999999,0.0,0.27,USD/lb,Authentic Futures Market Feed (1-Year 60m Candles),0.0
2025-08-15 08:00,2025-08-15,8,Cotton,CT=F,66.01,66.01,66.01,66.01,0,-0.41,0.0,0.0,USD/lb,Authentic Futures Market Feed (1-Year 60m Candles),0.0
2025-08-15 11:00,2025-08-15,11,Cotton,CT=F,65.65,65.9,65.65,65.9,6,-0.1699999999999999,0.25,0.25,USD/lb,Authentic Futures Market Feed (1-Year 60m Candles),0.25
2025-08-15 13:00,2025-08-15,13,Cotton,CT=F,66.06,66.06,66.06,66.06,7,0.24,0.0,-0.25,USD/lb,Authentic Futures Market Feed (1-Year 60m Candles),0.0
2025-08-17 21:00,2025-08-17,21,Cotton,CT=F,65.93,65.93,65.85,65.85,0,-0.32,-0.08,-0.08,USD/lb,Authentic Futures Market Feed (1-Year 60m Candles),-0.08
2025-08-18 10:00,2025-08-18,10,Cotton,CT=F,66.15,66.15,66.15,66.15,0,0.4599999999999999,0.0,0.08,USD/lb,Authentic Futures Market Feed (1-Year 60m Candles),0.0
2025-08-18 12:00,2025-08-18,12,Cotton,CT=F,66.17,66.67,66.16,66.62,0,0.7100000000000001,0.45,0.45,USD/lb,Authentic Futures Market Feed (1-Year 60m Candles),0.45
2025-08-18 23:00,2025-08-18,23,Cotton,CT=F,66.44,66.44,66.44,66.44,0,-0.27,0.0,-0.45,USD/lb,Authentic Futures Market Feed (1-Year 60m Candles),0.0
