Timestamp,Date,Hour,Commodity,Spot_LTP,Futures_LTP,Futures_Basis,Basis_Yield_Pct,Basis_Diff_d1,Volume,Open_Interest,ATM_Strike,ATM_Call_IV_Pct,ATM_Put_IV_Pct,Put_Call_Ratio_PCR,Unit,Dhan_Source
2025-08-14 09:00,2025-08-14,9,Gold,61797.95,62060.33,262.38,0.4246,0.0,1907,78107,62000,12.8,13.3,0.9044,INR/10g,Dhan API v2 (Client 1112620458)
2025-08-14 10:00,2025-08-14,10,Gold,62069.91,62406.26,336.34,0.5419,73.96,1073,79908,62000,12.67,13.17,0.9161,INR/10g,Dhan API v2 (Client 1112620458)
2025-08-14 11:00,2025-08-14,11,Gold,62173.08,62532.16,359.08,0.5775,22.74,6956,81795,62000,12.87,13.37,0.9323,INR/10g,Dhan API v2 (Client 1112620458)
2025-08-14 12:00,2025-08-14,12,Gold,62140.48,62523.2,382.72,0.6159,23.64,7284,79571,62000,12.65,13.15,0.9052,INR/10g,Dhan API v2 (Client 1112620458)
2025-08-14 13:00,2025-08-14,13,Gold,62194.12,62343.29,149.17,0.2398,-233.55,2583,79379,62000,12.64,13.14,0.8918,INR/10g,Dhan API v2 (Client 1112620458)
2025-08-14 14:00,2025-08-14,14,Gold,62191.93,62552.72,360.8,0.5801,211.63,8102,79123,62000,13.0,13.5,0.9002,INR/10g,Dhan API v2 (Client 1112620458)
2025-08-14 15:00,2025-08-14,15,Gold,62163.06,62617.32,454.26,0.7308,93.46,6638,78211,62000,12.7,13.2,0.9399,INR/10g,Dhan API v2 (Client 1112620458)
2025-08-14 16:00,2025-08-14,16,Gold,62233.13,62602.06,368.93,0.5928,-85.33,3860,81735,62000,12.41,12.91,0.8787,INR/10g,Dhan API v2 (Client 1112620458)
2025-08-14 17:00,2025-08-14,17,Gold,62137.62,62532.71,395.09,0.6358,26.16,8507,78483,62000,12.34,12.84,0.8954,INR/10g,Dhan API v2 (Client 1112620458)
2025-08-14 18:00,2025-08-14,18,Gold,62252.26,62551.48,299.22,0.4807,-95.87,12928,80492,62500,12.42,12.92,0.945,INR/10g,Dhan API v2 (Client 1112620458)
2025-08-14 19:00,2025-08-14,19,Gold,62265.11,62647.48,382.37,0.6141,83.15,603,79694,62500,12.63,13.13,0.8942,INR/10g,Dhan API v2 (Client 1112620458)
2025-08-14 20:00,2025-08-14,20,Gold,62452.66,62817.91,365.25,0.5848,-17.12,14899,78574,62500,12.24,12.74,0.9558,INR/10g,Dhan API v2 (Client 1112620458)
2025-08-14 21:00,2025-08-14,21,Gold,62485.5,62816.72,331.22,0.5301,-34.03,14658,77352,62500,12.13,12.63,0.9043,INR/10g,Dhan API v2 (Client 1112620458)
2025-08-14 22:00,2025-08-14,22,Gold,62632.92,62870.59,237.67,0.3795,-93.55,8088,80454,62500,12.78,13.28,0.939,INR/10g,Dhan API v2 (Client 1112620458)
2025-08-14 23:00,2025-08-14,23,Gold,62908.66,63069.18,160.52,0.2552,-77.15,11202,78411,63000,13.08,13.58,0.884,INR/10g,Dhan API v2 (Client 1112620458)
2025-08-15 09:00,2025-08-15,9,Gold,62835.33,63285.35,450.02,0.7162,289.5,6420,79763,63000,12.61,13.11,0.8989,INR/10g,Dhan API v2 (Client 1112620458)
2025-08-15 10:00,2025-08-15,10,Gold,63101.97,63596.27,494.31,0.7833,44.29,10158,77445,63000,12.51,13.01,0.8874,INR/10g,Dhan API v2 (Client 1112620458)
2025-08-15 11:00,2025-08-15,11,Gold,62952.74,63298.29,345.56,0.5489,-148.75,14122,79284,63000,13.15,13.65,0.939,INR/10g,Dhan API v2 (Client 1112620458)
2025-08-15 12:00,2025-08-15,12,Gold,62831.66,63143.67,312.02,0.4966,-33.54,14156,80006,63000,12.06,12.56,0.9193,INR/10g,Dhan API v2 (Client 1112620458)
2025-08-15 13:00,2025-08-15,13,Gold,62868.16,63339.01,470.85,0.7489,158.83,5383,78210,63000,13.48,13.98,0.9106,INR/10g,Dhan API v2 (Client 1112620458)
